plan_name,price_usd,effective_monthly_fee_usd,annual_fee_usd,annual_discount_pct,served_model,monthly_tokens,raw_usd_per_mtok,benchmark_note,confidence,plan_id,plan_name_en,plan_gen,workload,unmetered,promo_until
ChatGPT Plus,20.0,20.0,240.0,0.0,gpt-6-sol,1048000000,0.019083969,[Pending DeepSWE],high,chatgpt_plus,,,measured,False,
Devin Max,200.0,200.0,2400.0,0.0,claude-opus-5.5,6690000000,0.029895366,[Pending DeepSWE],medium,devin_max,,,anthropic,False,
Claude Max 20x (9/14+),200.0,200.0,2400.0,0.0,claude-fable-5.1,1728000000,0.11574074,[Pending DeepSWE],medium,claude_max_20x,,,measured,False,
Claude Max 20x (9/14+),200.0,200.0,2400.0,0.0,claude-opus-5.5,30170000000,0.0066291018,[Pending DeepSWE],medium,claude_max_20x,,,measured,False,
SuperGrok,30.0,25.0,300.0,16.7,grok-4.7,497000000,0.060362173,[Pending DeepSWE],medium,supergrok,,,measured,False,
SuperGrok Plus,100.0,100.0,1200.0,0.0,grok-4.7,1990000000,0.050251256,[Pending DeepSWE],medium,supergrok_plus,,,measured,False,
SuperGrok Heavy,300.0,250.0,3000.0,16.7,grok-4.7,4970000000,0.060362173,[Pending DeepSWE],medium,supergrok_heavy,,,measured,False,
MiniMax Token Plan Plus,7.23,5.78,69.41,20.0,minimax-m3,600000000,0.012047541,[Pending DeepSWE],high,minimax_token_plus_cn,,,measured,False,
MiniMax Token Plan Max,17.55,14.04,168.48,20.0,minimax-m3,1800000000,0.0097527713,[Pending DeepSWE],high,minimax_token_max_cn,,,measured,False,
MiniMax Token Plan Ultra,69.19,55.35,664.22,20.0,minimax-m3,7100000000,0.0097446912,[Pending DeepSWE],high,minimax_token_ultra_cn,,,measured,False,
MiniMax Token Plan Plus (Global),22.0,17.6,211.2,20.0,minimax-m3,1700000000,0.012941176,[Pending DeepSWE],high,minimax_token_plus_global,,,measured,False,
MiniMax Token Plan Max (Global),55.0,44.0,528.0,20.0,minimax-m3,5100000000,0.010784314,[Pending DeepSWE],high,minimax_token_max_global,,,measured,False,
MiniMax Token Plan Ultra (Global),132.0,105.6,1267.2,20.0,minimax-m3,9800000000,0.013469388,[Pending DeepSWE],high,minimax_token_ultra_global,,,measured,False,
阿里云百炼 Coding Plan Pro,29.5,23.6,283.2,20.0,qwen3.7-plus,198000000,0.14901102,[Pending DeepSWE],medium,aliyun_coding_pro_cn,,,measured,False,
Alibaba Cloud Coding Plan Pro,50.0,40.0,480.0,20.0,qwen3.7-plus,198000000,0.25252525,[Pending DeepSWE],low,aliyun_coding_pro_global,,,measured,False,
OpenCode Go,10.0,10.0,120.0,0.0,grok-4.7,26500000,0.37735849,[Pending DeepSWE],medium,opencode_go,,,standard,False,
OpenCode Go,10.0,10.0,120.0,0.0,glm-5.1,194000000,0.051546392,[Pending DeepSWE],medium,opencode_go,,,standard,False,
OpenCode Go,10.0,10.0,120.0,0.0,kimi-k2.6,301600000,0.033156499,[Pending DeepSWE],medium,opencode_go,,,standard,False,
OpenCode Go,10.0,10.0,120.0,0.0,longcat-2.0,3105600000,0.0032199897,[Pending DeepSWE],medium,opencode_go,,,standard,False,
OpenCode Go,10.0,10.0,120.0,0.0,mimo-v2.5,7878200000,0.0012693255,[Pending DeepSWE],medium,opencode_go,,,standard,False,
OpenCode Go,10.0,10.0,120.0,0.0,mimo-v2.5-pro,800400000,0.012493753,[Pending DeepSWE],medium,opencode_go,,,standard,False,
OpenCode Go,10.0,10.0,120.0,0.0,mimo-v2.6-flash,7878200000,0.0012693255,[Pending DeepSWE],medium,opencode_go,,,standard,False,
OpenCode Go,10.0,10.0,120.0,0.0,mimo-v2.6-pro,800400000,0.012493753,[Pending DeepSWE],medium,opencode_go,,,standard,False,
OpenCode Go,10.0,10.0,120.0,0.0,minimax-m3,836800000,0.011950287,[Pending DeepSWE],medium,opencode_go,,,standard,False,
OpenCode Go,10.0,10.0,120.0,0.0,minimax-m2.7,836800000,0.011950287,[Pending DeepSWE],medium,opencode_go,,,standard,False,
OpenCode Go,10.0,10.0,120.0,0.0,minimax-m2.5,836800000,0.011950287,[Pending DeepSWE],medium,opencode_go,,,standard,False,
OpenCode Go,10.0,10.0,120.0,0.0,muse-spark-1.3-contributor,11029400000,0.00090666763,[Pending DeepSWE],medium,opencode_go,,,standard,False,
OpenCode Go,10.0,10.0,120.0,0.0,muse-spark-1.2-contributor,11029400000,0.00090666763,[Pending DeepSWE],medium,opencode_go,,,standard,False,
OpenCode Go,10.0,10.0,120.0,0.0,qwen3.8-flash,1387600000,0.0072066878,[Pending DeepSWE],medium,opencode_go,,,standard,False,
OpenCode Go,10.0,10.0,120.0,0.0,qwen3.7-max,51300000,0.19493177,[Pending DeepSWE],medium,opencode_go,,,standard,False,
OpenCode Go,10.0,10.0,120.0,0.0,qwen3.7-plus,1056300000,0.0094670075,[Pending DeepSWE],medium,opencode_go,,,standard,False,
